,studentID,collegeID,earlyAppl,visited,alumni,outofstate,acceptStatus,acceptProb
1,DXUVWVDMBC,Yale,-1.0,,-1.0,1.0,-1.0,
2,DXUVWVDMBC,Columbia,-1.0,,-1.0,1.0,-1.0,
3,DXUVWVDMBC,Harvard,1.0,,-1.0,1.0,-1.0,
4,DXUVWVDMBC,Georgetown,-1.0,,-1.0,1.0,0.0,
0,7KIZ67WPEG,CarnegieMellon,-1.0,,-1.0,1.0,-1.0,
1,7KIZ67WPEG,UChicago,-1.0,,1.0,1.0,-1.0,
2,7KIZ67WPEG,Northwestern,-1.0,,-1.0,1.0,1.0,
0,BT2PFA5UKS,CarnegieMellon,1.0,,-1.0,1.0,1.0,
0,G1S3IPU1LX,UPenn,-1.0,,-1.0,1.0,0.0,
1,G1S3IPU1LX,Brown,-1.0,,-1.0,1.0,0.0,
2,G1S3IPU1LX,MIT,-1.0,,-1.0,1.0,0.0,
3,G1S3IPU1LX,CarnegieMellon,-1.0,,-1.0,1.0,0.0,
4,G1S3IPU1LX,Columbia,-1.0,,-1.0,1.0,0.0,
5,G1S3IPU1LX,Stanford,-1.0,,-1.0,-1.0,-1.0,
6,G1S3IPU1LX,UCB,-1.0,,-1.0,-1.0,1.0,
7,G1S3IPU1LX,UCLA,-1.0,,-1.0,-1.0,0.0,
8,G1S3IPU1LX,USC,-1.0,,-1.0,-1.0,0.0,
9,G1S3IPU1LX,JohnsHopkins,-1.0,,-1.0,1.0,0.0,
10,G1S3IPU1LX,Northwestern,-1.0,,-1.0,1.0,0.0,
0,9V3B5IH3LN,Duke,-1.0,,-1.0,1.0,-1.0,
1,9V3B5IH3LN,JohnsHopkins,-1.0,,-1.0,1.0,0.0,
0,SPR3VB0Z1C,MIT,-1.0,,-1.0,1.0,-1.0,
1,SPR3VB0Z1C,Yale,-1.0,,-1.0,1.0,-1.0,
2,SPR3VB0Z1C,Columbia,-1.0,,-1.0,1.0,-1.0,
3,SPR3VB0Z1C,Harvard,-1.0,,-1.0,1.0,-1.0,
4,SPR3VB0Z1C,Stanford,1.0,,-1.0,1.0,1.0,
5,SPR3VB0Z1C,Cornell,-1.0,,-1.0,1.0,1.0,
6,SPR3VB0Z1C,Duke,-1.0,,-1.0,-1.0,1.0,
7,SPR3VB0Z1C,JohnsHopkins,-1.0,,-1.0,1.0,-1.0,
8,SPR3VB0Z1C,WashU,-1.0,,-1.0,1.0,1.0,
0,UFCFBCYHK2,Duke,-1.0,,-1.0,1.0,-1.0,
1,UFCFBCYHK2,Emory,-1.0,,-1.0,1.0,-1.0,
2,UFCFBCYHK2,UCB,-1.0,,-1.0,-1.0,-1.0,
3,UFCFBCYHK2,UCLA,-1.0,,-1.0,-1.0,-1.0,
4,UFCFBCYHK2,Vanderbilt,-1.0,,-1.0,1.0,-1.0,
5,UFCFBCYHK2,WashU,-1.0,,-1.0,1.0,1.0,
6,UFCFBCYHK2,NotreDame,-1.0,,-1.0,1.0,1.0,
7,UFCFBCYHK2,Northwestern,-1.0,,-1.0,1.0,-1.0,
0,5FP7MWP3OA,Brown,-1.0,,-1.0,1.0,-1.0,
1,5FP7MWP3OA,JohnsHopkins,-1.0,,-1.0,1.0,-1.0,
0,Q22KHYTUVM,Brown,-1.0,,-1.0,1.0,1.0,
1,Q22KHYTUVM,Columbia,-1.0,,1.0,1.0,1.0,
2,Q22KHYTUVM,Harvard,1.0,,-1.0,1.0,-1.0,
0,SAFE4TI2QK,Vanderbilt,1.0,,-1.0,1.0,-1.0,
0,7ZCU84CB0F,UPenn,1.0,,-1.0,1.0,1.0,
0,8HLML8QK3X,Emory,-1.0,,-1.0,1.0,-1.0,
0,ON63CFLDCS,MIT,-1.0,,-1.0,1.0,0.0,
1,ON63CFLDCS,Yale,-1.0,,-1.0,1.0,-1.0,
2,ON63CFLDCS,Harvard,-1.0,,-1.0,1.0,-1.0,
3,ON63CFLDCS,Stanford,-1.0,,1.0,1.0,1.0,
0,GCZR777TLU,Brown,-1.0,,-1.0,1.0,-1.0,
1,GCZR777TLU,UCB,-1.0,,-1.0,-1.0,1.0,
2,GCZR777TLU,UCLA,-1.0,,-1.0,-1.0,1.0,
0,IYDMM5L6AE,Harvard,-1.0,,-1.0,1.0,1.0,
0,IPNQCNEQN8,Yale,1.0,,-1.0,1.0,-1.0,
1,IPNQCNEQN8,Dartmouth,-1.0,,-1.0,1.0,-1.0,
2,IPNQCNEQN8,Cornell,-1.0,,1.0,1.0,-1.0,
3,IPNQCNEQN8,NotreDame,-1.0,,-1.0,1.0,1.0,
0,I9D04IY8FY,Brown,-1.0,,1.0,1.0,-1.0,
1,I9D04IY8FY,MIT,-1.0,,-1.0,1.0,1.0,
2,I9D04IY8FY,UChicago,-1.0,,-1.0,1.0,0.0,
3,I9D04IY8FY,Columbia,-1.0,,-1.0,1.0,1.0,
4,I9D04IY8FY,Harvard,1.0,,-1.0,1.0,-1.0,
0,ZKA97JSG72,UChicago,1.0,,-1.0,1.0,-1.0,
0,LEZ8R9KFLE,Brown,-1.0,,-1.0,1.0,-1.0,
1,LEZ8R9KFLE,UCLA,-1.0,,-1.0,1.0,-1.0,
2,LEZ8R9KFLE,USC,-1.0,,-1.0,1.0,1.0,
0,03KT7DBV1F,Princeton,-1.0,,-1.0,1.0,-1.0,
1,03KT7DBV1F,Harvard,-1.0,,-1.0,1.0,-1.0,
2,03KT7DBV1F,Stanford,-1.0,,-1.0,1.0,-1.0,
3,03KT7DBV1F,Georgetown,-1.0,,-1.0,1.0,-1.0,
0,8F8WBYVKJG,WashU,-1.0,,-1.0,1.0,1.0,
0,IWV4LZYXR5,UCLA,-1.0,,-1.0,1.0,-1.0,
1,IWV4LZYXR5,Vanderbilt,-1.0,,-1.0,1.0,-1.0,
0,5Z1U2IT8X2,Brown,-1.0,,-1.0,1.0,-1.0,
1,5Z1U2IT8X2,Yale,-1.0,,-1.0,1.0,-1.0,
2,5Z1U2IT8X2,UCB,-1.0,,-1.0,-1.0,1.0,
3,5Z1U2IT8X2,UCLA,-1.0,,-1.0,-1.0,-1.0,
0,7UUJ4Z5SFJ,UPenn,1.0,,-1.0,1.0,-1.0,
1,7UUJ4Z5SFJ,Princeton,-1.0,,-1.0,-1.0,0.0,
2,7UUJ4Z5SFJ,CarnegieMellon,-1.0,,-1.0,1.0,0.0,
3,7UUJ4Z5SFJ,Cornell,-1.0,,-1.0,1.0,0.0,
4,7UUJ4Z5SFJ,Emory,-1.0,,-1.0,1.0,0.0,
5,7UUJ4Z5SFJ,NotreDame,-1.0,,-1.0,1.0,0.0,
0,D5AD1VK0YF,UChicago,-1.0,,-1.0,1.0,1.0,
0,WO45CSJKV9,Duke,-1.0,,-1.0,1.0,1.0,
0,WI1IXMBIA9,UChicago,-1.0,,-1.0,1.0,1.0,
0,YWABOFQT7J,UChicago,-1.0,,1.0,1.0,-1.0,
0,WZFPWHSQMS,Princeton,-1.0,,-1.0,1.0,-1.0,
1,WZFPWHSQMS,UChicago,1.0,,-1.0,1.0,1.0,
2,WZFPWHSQMS,Harvard,-1.0,,-1.0,1.0,-1.0,
3,WZFPWHSQMS,CalTech,1.0,,-1.0,1.0,1.0,
4,WZFPWHSQMS,Rice,-1.0,,-1.0,1.0,-1.0,
5,WZFPWHSQMS,Stanford,-1.0,,-1.0,1.0,-1.0,
0,ZR4LRPWY27,Emory,-1.0,,-1.0,1.0,-1.0,
0,AXUA2SN9LQ,Brown,-1.0,,-1.0,1.0,0.0,
1,AXUA2SN9LQ,MIT,-1.0,,-1.0,1.0,-1.0,
2,AXUA2SN9LQ,CarnegieMellon,-1.0,,-1.0,1.0,-1.0,
3,AXUA2SN9LQ,Yale,-1.0,,-1.0,1.0,0.0,
4,AXUA2SN9LQ,UChicago,-1.0,,-1.0,1.0,-1.0,
5,AXUA2SN9LQ,Harvard,-1.0,,-1.0,1.0,0.0,
6,AXUA2SN9LQ,CalTech,-1.0,,-1.0,1.0,-1.0,
7,AXUA2SN9LQ,Stanford,1.0,,-1.0,1.0,-1.0,
8,AXUA2SN9LQ,Duke,-1.0,,-1.0,1.0,-1.0,
0,YJ3550ZIMK,UPenn,-1.0,,-1.0,1.0,1.0,
0,RACPAX5SY1,UPenn,-1.0,,-1.0,1.0,0.0,
1,RACPAX5SY1,Brown,-1.0,,-1.0,1.0,0.0,
2,RACPAX5SY1,Yale,-1.0,,-1.0,1.0,0.0,
3,RACPAX5SY1,Cornell,-1.0,,-1.0,1.0,0.0,
4,RACPAX5SY1,WashU,-1.0,,1.0,-1.0,-1.0,
0,T248R4ZCO0,USC,-1.0,,-1.0,1.0,-1.0,
0,DU52ZPL2VU,Princeton,-1.0,,-1.0,1.0,0.0,
1,DU52ZPL2VU,Harvard,-1.0,,-1.0,1.0,-1.0,
2,DU52ZPL2VU,Stanford,-1.0,,-1.0,-1.0,-1.0,
3,DU52ZPL2VU,UCB,-1.0,,-1.0,-1.0,-1.0,
